captured_at,league,tournament,start_date,fixture_id,game_id,home_player,away_player,provider_player_name,provider_player_id,normalized_selection,book,market,market_id,line,is_main,over_price,under_price,over_implied_prob,under_implied_prob,overround,over_novig_prob,under_novig_prob,has_both_sides,over_odds_id,under_odds_id,grouping_key,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,202609181F89EA34,43439-90436-2026-37,Nadia Podoroska,Suzan Lamens,Suzan Lamens,A6E1D0C8A0C9,suzan_lamens,DraftKings,Player Break Points Won,player_break_points_won,0.5,True,,1800,,,,,,False,,43439-90436-2026-37:draftkings:player_break_points_won:suzan_lamens_under_0_5,suzan_lamens:0.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,202609181F89EA34,43439-90436-2026-37,Nadia Podoroska,Suzan Lamens,Nadia Podoroska,FB69A64B33D1,nadia_podoroska,DraftKings,Player Games Won,player_games_won,12.5,True,125,-185,0.444444,0.649123,1.093567,0.406417,0.593583,True,43439-90436-2026-37:draftkings:player_games_won:nadia_podoroska_over_12_5,43439-90436-2026-37:draftkings:player_games_won:nadia_podoroska_under_12_5,nadia_podoroska:12.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,202609181F89EA34,43439-90436-2026-37,Nadia Podoroska,Suzan Lamens,Suzan Lamens,A6E1D0C8A0C9,suzan_lamens,DraftKings,Player Games Won,player_games_won,11.5,True,-165,110,0.622642,0.476190,1.098832,0.566639,0.433361,True,43439-90436-2026-37:draftkings:player_games_won:suzan_lamens_over_11_5,43439-90436-2026-37:draftkings:player_games_won:suzan_lamens_under_11_5,suzan_lamens:11.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,202609181F89EA34,43439-90436-2026-37,Nadia Podoroska,Suzan Lamens,Nadia Podoroska,FB69A64B33D1,nadia_podoroska,DraftKings,Player Sets Won,player_sets_won,0.5,True,-330,225,0.767442,0.307692,1.075134,0.713810,0.286190,True,43439-90436-2026-37:draftkings:player_sets_won:nadia_podoroska_over_0_5,43439-90436-2026-37:draftkings:player_sets_won:nadia_podoroska_under_0_5,nadia_podoroska:0.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,202609181F89EA34,43439-90436-2026-37,Nadia Podoroska,Suzan Lamens,Suzan Lamens,A6E1D0C8A0C9,suzan_lamens,DraftKings,Player Sets Won,player_sets_won,0.5,True,-215,150,0.682540,0.400000,1.082540,0.630499,0.369501,True,43439-90436-2026-37:draftkings:player_sets_won:suzan_lamens_over_0_5,43439-90436-2026-37:draftkings:player_sets_won:suzan_lamens_under_0_5,suzan_lamens:0.5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Kaitlin Quevedo,635381F93957A087,kaitlin_quevedo,BetMGM,Player Sets Won,player_sets_won,0.5,True,-350,225,0.777778,0.307692,1.085470,0.716535,0.283465,True,33889-27513-2026-37:betmgm:player_sets_won:kaitlin_quevedo_over_0_5,33889-27513-2026-37:betmgm:player_sets_won:kaitlin_quevedo_under_0_5,kaitlin_quevedo:0.5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Teodora Kostovic,E9CDAF26AAF5D1D3,teodora_kostovic,BetMGM,Player Sets Won,player_sets_won,0.5,True,-220,150,0.687500,0.400000,1.087500,0.632184,0.367816,True,33889-27513-2026-37:betmgm:player_sets_won:teodora_kostovic_over_0_5,33889-27513-2026-37:betmgm:player_sets_won:teodora_kostovic_under_0_5,teodora_kostovic:0.5,1789696699.695156,2026-09-18T01:58:19Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Kaitlin Quevedo,635381F93957A087,kaitlin_quevedo,DraftKings,Player Break Points Won,player_break_points_won,0.5,True,,1800,,,,,,False,,33889-27513-2026-37:draftkings:player_break_points_won:kaitlin_quevedo_under_0_5,kaitlin_quevedo:0.5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Teodora Kostovic,E9CDAF26AAF5D1D3,teodora_kostovic,DraftKings,Player Break Points Won,player_break_points_won,0.5,True,,1400,,,,,,False,,33889-27513-2026-37:draftkings:player_break_points_won:teodora_kostovic_under_0_5,teodora_kostovic:0.5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,202609186FF93BE5,33889-27513-2026-37,Teodora Kostovic,Kaitlin Quevedo,Kaitlin Quevedo,635381F93957A087,kaitlin_quevedo,DraftKings,Player Games Won,player_games_won,12.5,True,-105,-140,0.512195,0.583333,1.095528,0.467532,0.532468,True,33889-27513-2026-37:draftkings:player_games_won:kaitlin_quevedo_over_12_5,33889-27513-2026-37:draftkings:player_games_won:kaitlin_quevedo_under_12_5,kaitlin_quevedo:12.5,1789677564.4160278,2026-09-17T20:39:24Z
