captured_at,fixture_id,game_id,league,tournament,start_date,status,home_player,away_player,sportsbook,market_id,market,player_id,selection,normalized_selection,selection_line,points,price,is_main,grouping_key,odds_id,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,20260918148FC806,21423-94052-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T17:10:00Z,unplayed,Anna Blinkova,Alina Charaeva,DraftKings,player_sets_won,Player Sets Won,A1E0C3D3DCF1,Anna Blinkova,anna_blinkova,under,0.5,275,True,anna_blinkova:0.5,21423-94052-2026-37:draftkings:player_sets_won:anna_blinkova_under_0_5,1789691604.396114,2026-09-18T00:33:24Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,BetMGM,player_sets_won,Player Sets Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,over,0.5,-350,True,nadia_podoroska:0.5,43439-90436-2026-37:betmgm:player_sets_won:nadia_podoroska_over_0_5,1789696698.6643374,2026-09-18T01:58:18Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,BetMGM,player_sets_won,Player Sets Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,under,0.5,225,True,nadia_podoroska:0.5,43439-90436-2026-37:betmgm:player_sets_won:nadia_podoroska_under_0_5,1789696698.6643374,2026-09-18T01:58:18Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,BetMGM,player_sets_won,Player Sets Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,over,0.5,-220,True,suzan_lamens:0.5,43439-90436-2026-37:betmgm:player_sets_won:suzan_lamens_over_0_5,1789696698.6643374,2026-09-18T01:58:18Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,BetMGM,player_sets_won,Player Sets Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,under,0.5,150,True,suzan_lamens:0.5,43439-90436-2026-37:betmgm:player_sets_won:suzan_lamens_under_0_5,1789696698.6643374,2026-09-18T01:58:18Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_break_points_won,Player Break Points Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,under,0.5,2200,True,nadia_podoroska:0.5,43439-90436-2026-37:draftkings:player_break_points_won:nadia_podoroska_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_break_points_won,Player Break Points Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,under,0.5,1800,True,suzan_lamens:0.5,43439-90436-2026-37:draftkings:player_break_points_won:suzan_lamens_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_games_won,Player Games Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,over,12.5,125,True,nadia_podoroska:12.5,43439-90436-2026-37:draftkings:player_games_won:nadia_podoroska_over_12_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_games_won,Player Games Won,FB69A64B33D1,Nadia Podoroska,nadia_podoroska,under,12.5,-185,True,nadia_podoroska:12.5,43439-90436-2026-37:draftkings:player_games_won:nadia_podoroska_under_12_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609181F89EA34,43439-90436-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T21:40:00Z,unplayed,Nadia Podoroska,Suzan Lamens,DraftKings,player_games_won,Player Games Won,A6E1D0C8A0C9,Suzan Lamens,suzan_lamens,over,11.5,-165,True,suzan_lamens:11.5,43439-90436-2026-37:draftkings:player_games_won:suzan_lamens_over_11_5,1789694874.5046196,2026-09-18T01:27:54Z
