cutoff_date,fold_number,metric,metric_value,modelversion,row_count,run_timestamp,sport,stat_target,test_end_date
2015-02-01,2,interval_coverage,0.6150234741784038,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,interval_crossing_count,0.0,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,interval_repair_count,0.0,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,mae_improvement_over_baseline,-27.951563025892856,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_01_coverage,0.35714285714285715,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_02_coverage,0.6046511627906976,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_03_coverage,0.42857142857142855,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_04_coverage,0.4418604651162791,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_05_coverage,0.6744186046511628,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_06_coverage,0.7142857142857143,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_07_coverage,0.813953488372093,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_08_coverage,0.6428571428571429,ensemble_v1_aces,42,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_09_coverage,0.7209302325581395,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,prediction_bin_10_coverage,0.7441860465116279,ensemble_v1_aces,43,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,mae_absolute_objective,4.635513544228333,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,weight_absolute_baseline_v1_aces,0.5,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,weight_absolute_gbm_v1_aces,0.5,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,mae_squared_objective,4.635513544228333,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,weight_squared_baseline_v1_aces,0.5,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-02-01,2,weight_squared_gbm_v1_aces,0.5,ensemble_v1_aces,426,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-03-01
2015-03-01,3,mae,3.0663605556002635,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,rmse,3.9975943648627053,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mean_bias,1.347759444292215,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_coverage,0.6627906976744186,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_crossing_count,0.0,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_repair_count,0.0,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae_improvement_over_baseline,0.0,baseline_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_01_coverage,0.5882352941176471,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_02_coverage,0.6176470588235294,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_03_coverage,0.7428571428571429,baseline_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_04_coverage,0.7058823529411765,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_05_coverage,0.7142857142857143,baseline_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_06_coverage,0.7058823529411765,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_07_coverage,0.6470588235294118,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_08_coverage,0.6,baseline_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_09_coverage,0.7352941176470589,baseline_v1_aces,34,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,prediction_bin_10_coverage,0.5714285714285714,baseline_v1_aces,35,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae,2.5600828587296336,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,rmse,3.3123700903332107,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mean_bias,0.40157202232272465,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_coverage,0.7005813953488372,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_crossing_count,0.0,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,interval_repair_count,0.0,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
2015-03-01,3,mae_improvement_over_baseline,16.510703411768947,gbm_v1_aces,344,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-04-01
